,timestamp,address,crew_lead,time_start,time_end,num_ppl,work_completed,time_spent_prepping,job_difficulty,notes,dog_lines,,fix_notes,sprinklers_unfixed,sprinklers_hit,job_finished
34,2020-05-20 11:19:22,4158 freesia dr,Conner,2020-08-01 21:50:00,2020-08-01 11:15:00,4,Cutting and Prepping,1,1,,FALSE,,,0,0,TRUE
35,2020-05-20 12:09:48,7096 scioto parkway,Conner,2020-08-01 11:24:00,2020-08-01 12:08:00,4,Cutting and Prepping,1,1,,FALSE,,,0,0,TRUE
36,2020-05-20 13:24:32,7329 new point pl,Conner,2020-08-01 12:17:00,2020-08-01 13:00:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
37,2020-05-20 15:07:27,6735 golden way,Conner,2020-08-01 13:55:00,2020-08-01 15:05:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
38,2020-05-20 16:54:54,7539 scioto parkway,Conner,2020-08-01 15:16:00,2020-08-01 16:30:00,4,Cutting and Prepping,0,1,Left side of house there’s a shallow cable near the electric box.,FALSE,,,0,0,TRUE
39,2020-05-21 09:37:38,7539 scioto parkway,Other,2020-08-01 15:16:00,2020-08-01 16:30:00,4,Cutting and Prepping,0,1,Left side of house there’s a shallow cable near the electric box.,FALSE,,,0,0,TRUE
40,2020-05-21 09:39:57,3765 pine bank dr,Conner,2020-08-01 08:26:00,2020-08-01 09:35:00,5,Cutting and Prepping,0,2,Drain pipes all up and down the mulch beds and are laid very shallow,FALSE,,1 down stream drainage pipe on the left side of the house. Homeowner has been notified and knows about the break. There was also another pipe that is broke on the right side of the house but this appears to be an old pipe and an old break,0,0,TRUE
41,2020-05-21 11:06:27,8174 wildflower dr,Conner,2020-08-01 09:45:00,2020-08-01 11:05:00,5,Cutting and Prepping,0,2,Dog wire runs with mulch bed in left side of house ,FALSE,,,0,0,TRUE
43,2020-05-21 13:01:14,7581 polo ln,Conner,2020-08-01 12:00:00,2020-08-01 13:00:00,4,Cutting and Prepping,0,1,Some sprinkler heads in the mulch bed,FALSE,,,0,0,TRUE
44,2020-05-22 09:50:22,7096 scioto parkway,Other,2020-08-01 11:24:00,2020-08-01 12:08:00,4,Cutting and Prepping,1,1,,FALSE,,,0,0,TRUE
45,2020-05-22 09:51:16,6416 scioto chase blvd,Conner,2020-08-01 09:19:00,2020-08-01 09:49:00,3,Cutting and Prepping,0,1,Tulips close to mulch bed ,FALSE,,,0,0,TRUE
47,2020-05-22 13:28:29,8558 north bluff ln,Conner,2020-08-01 10:05:00,2020-08-01 13:27:00,3,Cutting and Prepping,1,2,Old wires pole out of bed in the back ,FALSE,,,0,0,TRUE
49,2020-05-22 14:53:35,1462 shale run dr,Conner,2020-08-01 14:05:00,2020-08-01 14:53:00,3,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
50,2020-05-22 16:17:47,58 liberty ridge dr,Conner,2020-08-01 15:45:00,2020-08-01 16:15:00,3,Cutting and Prepping,0,1,Do not edge pine tree in back left corner of house,FALSE,,,0,0,TRUE
51,2020-05-22 17:33:34,58 liberty ridge dr,Conner,2020-08-01 16:45:00,2020-08-01 17:15:00,3,,,,,,,,,,FALSE
52,2020-05-23 14:11:47,659 broadsworth court,Conner,2020-08-01 12:55:00,2020-08-01 14:05:00,4,Cutting Edge,0,1,Pine tree in back has low area that gets swamped.,FALSE,,N/A,0,0,TRUE
53,2020-05-26 09:49:02,4158 freesia dr,Other,2020-08-01 21:50:00,2020-08-01 11:15:00,4,Cutting and Prepping,1,1,,FALSE,,,0,0,TRUE
54,2020-05-26 09:50:10,6036 glenfinnan court,Conner,2020-08-01 08:38:00,2020-08-01 09:28:00,4,Cutting and Prepping,0,1,A few sprinklers in the beds,FALSE,,,0,0,TRUE
55,2020-05-26 11:55:50,7492 foxfield court,Conner,2020-08-01 09:45:00,2020-08-01 11:55:00,4,Cutting and Prepping,1,2,,FALSE,,,0,0,TRUE
57,2020-05-26 17:54:59,1925 white oak drive,Mariano,2020-08-01 13:09:00,2020-08-01 17:55:00,4,,,,,,,,,,FALSE
59,2020-05-27 11:13:27,1925 white oak drive,Conner,2020-08-01 09:30:00,2020-08-01 11:10:00,4,Cutting and Prepping,3,3,,FALSE,,,0,0,TRUE
60,2020-05-27 12:48:59,7192 mojave st,Conner,2020-08-01 12:00:00,2020-08-01 12:45:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
61,2020-05-27 14:52:32,7275 pueblo ct,Conner,2020-08-01 14:30:00,2020-08-01 14:52:00,4,Prepping Job,0,1,,FALSE,,,0,0,TRUE
63,2020-05-27 16:51:00,4110 gediz dr,Conner,2020-08-01 15:10:00,2020-08-01 16:50:00,4,Cutting and Prepping,0,-1,,FALSE,,,0,,FALSE
64,2020-05-28 10:57:56,4110 gediz dr,Conner,2020-08-01 08:30:00,2020-08-01 10:53:00,4,Cutting and Prepping,2,3,,FALSE,,,0,0,TRUE
65,2020-05-28 13:39:02,4638 cherry glen dr,Conner,2020-08-01 11:14:00,2020-08-01 13:35:00,4,Cutting and Prepping,0,2,Neighbors dog wire runs along back left pine bed,FALSE,,,0,0,TRUE
67,2020-05-28 16:30:28,1705 liberty bluff dr,Conner,2020-08-01 15:30:00,2020-08-01 16:28:00,4,Cutting and Prepping,0,1,Did not edge back mulch bed in the electric box,FALSE,,,0,0,TRUE
69,2020-05-30 12:07:36,7970 wingate place,Conner,2020-08-01 10:05:00,2020-08-01 12:07:00,3,Cutting and Prepping,0,-1,,FALSE,,,0,0,FALSE
71,2020-05-30 15:12:40,4491 highland meadows ct,Conner,2020-08-01 13:10:00,2020-08-01 14:42:00,3,Cutting and Prepping,1,1,French drain in far back bed,FALSE,,1 French drain with the ripples black plastic tube in back and 1 sprinkler line on side bed of house,1,1,TRUE
72,2020-05-30 16:06:00,8447 coldwater,Conner,2020-08-01 15:10:00,2020-08-01 16:04:00,3,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
73,2020-06-01 09:59:29,7970 wingate place,Conner,2020-08-01 08:27:00,2020-08-01 09:55:00,4,Cutting and Prepping,0,2,,FALSE,,,0,0,TRUE
75,2020-06-01 15:55:22,5975 griffiths ln,Conner,2020-08-01 10:21:00,2020-08-01 15:55:00,4,Cutting and Prepping,3,3,Shallow downstream pipes in beds,FALSE,,4” thick wall pvc downstream pipe hit on left aide of house,0,0,TRUE
76,2020-06-01 16:36:17,2682 schoen lake dr,Conner,2020-08-01 16:07:00,2020-08-01 16:34:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
78,2020-06-02 09:01:14,266 schoen lake dr,Conner,2020-08-01 08:27:00,2020-08-01 09:56:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
79,2020-06-02 10:25:18,1690 shale run dr,Conner,2020-08-01 09:09:00,2020-08-01 10:15:00,4,Cutting and Prepping,0,1,Shallow cables left side of house,FALSE,,,0,0,TRUE
81,2020-06-02 12:20:43,4528 erwing court,Conner,2020-08-01 11:13:00,2020-08-01 12:15:00,4,Cutting and Prepping,1,1,,FALSE,,,0,0,TRUE
